"Localities_name","Localities_url"
"Alandi Road","https://www.mapsofindia.com/pune/localities/alandi-road.html"
"Ambegaon Budruk","https://www.mapsofindia.com/pune/localities/ambegaon-budruk.html"
"Anandnagar","https://www.mapsofindia.com/pune/localities/anandnagar.html"
"Aundh","https://www.mapsofindia.com/pune/localities/aundh.html"
"Aundh Road","https://www.mapsofindia.com/pune/localities/aundh-road.html"
"Balaji Nagar","https://www.mapsofindia.com/pune/localities/balaji-nagar.html"
"Baner","https://www.mapsofindia.com/pune/localities/baner.html"
"Baner road","https://www.mapsofindia.com/pune/localities/baner-road.html"
"Bhandarkar Road","https://www.mapsofindia.com/pune/localities/bhandarkar-road.html"
"Bhavani Peth","https://www.mapsofindia.com/pune/localities/bhavani-peth.html"
"Bibvewadi","https://www.mapsofindia.com/pune/localities/bibvewadi.html"
"Bopodi","https://www.mapsofindia.com/pune/localities/bopodi.html"
"Budhwar Peth","https://www.mapsofindia.com/pune/localities/budhwar-peth.html"
"Bund Garden Road","https://www.mapsofindia.com/pune/localities/bund-garden-road.html"
"Camp","https://www.mapsofindia.com/pune/localities/camp.html"
"Chandan Nagar","https://www.mapsofindia.com/pune/localities/chandan-nagar.html"
"Dapodi","https://www.mapsofindia.com/pune/localities/dapodi.html"
"Deccan Gymkhana","https://www.mapsofindia.com/pune/localities/deccan-gymkhana.html"
"Dehu Road","https://www.mapsofindia.com/pune/localities/dehu-road.html"
"Dhankawadi","https://www.mapsofindia.com/pune/localities/dhankawadi.html"
"Dhayari Phata","https://www.mapsofindia.com/pune/localities/dhayari-phata.html"
"Dhole Patil Road","https://www.mapsofindia.com/pune/localities/dhole-patil-road.html"
"Erandwane","https://www.mapsofindia.com/pune/localities/erandwane.html"
"Fatima Nagar","https://www.mapsofindia.com/pune/localities/fatima-nagar.html"
"Fergusson College Road","https://www.mapsofindia.com/pune/localities/fergusson-college-road.html"
"Ganesh Peth","https://www.mapsofindia.com/pune/localities/ganesh-peth.html"
"Ganeshkhind","https://www.mapsofindia.com/pune/localities/ganeshkhind.html"
"Ghorpade Peth","https://www.mapsofindia.com/pune/localities/ghorpade-peth.html"
"Ghorpadi","https://www.mapsofindia.com/pune/localities/ghorpadi.html"
"Gokhale Nagar","https://www.mapsofindia.com/pune/localities/gokhale-nagar.html"
"Gultekdi","https://www.mapsofindia.com/pune/localities/gultekdi.html"
"Guruwar peth","https://www.mapsofindia.com/pune/localities/guruwar-peth.html"
